user_input,classification_label,complexity,label_encoded,complexity_encoded
Write a Python script to validate an Indian PAN card number format using regular expressions.,code_generation,low,0,1
Generate a Java method to connect to the internal 'Customer360' API and fetch a customer's profile using their customer ID.,code_generation,medium,0,2
"Create the complete Terraform configuration to deploy a new microservice for loan pre-qualification checks on AWS, including an EKS cluster, RDS instance, and security groups.",code_generation,high,0,0
"Generate a Python function to calculate the Equated Monthly Instalment (EMI) for a given principal, interest rate, and tenure.",code_generation,low,0,1
Write a JavaScript snippet for the frontend to disable the 'Submit' button on the funds transfer page after it has been clicked once to prevent duplicate transactions.,code_generation,medium,0,2
"Develop a complete Spring Boot application skeleton for a new service that will handle recurring bill payments, including REST controllers, service layers, and repository interfaces.",code_generation,high,0,0
Write a unit test in JUnit for the 'calculateCompoundInterest' method.,code_generation,medium,0,2
Create a shell script that monitors the application log file for 'OutOfMemoryError' and sends an email alert to the support team.,code_generation,medium,0,2
"Generate a C# class to represent a 'FixedDeposit' object with properties like Principal, InterestRate, MaturityDate, and a method to calculate maturity value.",code_generation,low,0,1
Write a Python class to parse a CIBIL report in XML format and extract the credit score and existing trade lines.,code_generation,high,0,0
"What was our bank's total transaction volume via UPI for August 14th, 2025?",data_analysis,low,3,1
Analyze customer spending patterns on our 'Platinum' credit cards for the last quarter. Identify the top 5 merchant categories.,data_analysis,medium,3,2
Perform a cohort analysis of customers acquired through the 'Diwali 2024' marketing campaign to determine their 6-month retention rate and average balance.,data_analysis,high,3,0
Identify anomalies in ATM withdrawal patterns across all Chennai branches for the last 72 hours.,data_analysis,medium,3,2
"What is the demographic breakdown (age, location) of customers applying for personal loans through our mobile app?",data_analysis,medium,3,2
Correlate the loan default rate with the customer's CIBIL score at the time of application.,data_analysis,high,3,0
Analyze the user navigation flow on our netbanking portal to identify the most common drop-off point during the bill payment process.,data_analysis,high,3,0
Which branches have shown a decline in new savings account openings for three consecutive months?,data_analysis,medium,3,2
Compare the transaction approval times for the Visa and Mastercard payment gateways during peak hours.,data_analysis,medium,3,2
What percentage of our active customers are using the mobile banking app at least once a week?,data_analysis,low,3,1
Generate a daily report of all failed NEFT transactions with their failure reason codes.,report_generation,medium,9,2
Create a CSV report of all customers whose KYC is due for renewal in the next 30 days.,report_generation,low,9,1
"Generate the monthly risk assessment summary for the board of directors, including key risk indicators (KRIs) for credit risk, market risk, and operational risk.",report_generation,high,9,0
Produce a list of all employees who have exceeded their authorized trading limits in the treasury department this week.,report_generation,medium,9,2
Generate a PDF statement for a customer's savings account for the last financial year.,report_generation,low,9,1
"Create the final presentation slides for the quarterly business review, summarizing the performance of the retail banking division.",report_generation,high,9,0
Generate a report on the uptime and performance SLAs for all our critical applications for the month of July 2025.,report_generation,medium,9,2
Create a list of all corporate accounts with a balance greater than 2 crore.,report_generation,low,9,1
Generate the RBI-mandated annual cybersecurity compliance report.,report_generation,high,9,0
Summarize the attached 2-hour audio recording of the quarterly earnings call into key highlights and analyst questions.,text_summarization,high,14,0
Provide a bullet-point summary of this customer complaint thread regarding repeated failed logins.,text_summarization,medium,14,2
Summarize this news article about the latest RBI monetary policy changes.,text_summarization,low,14,1
Condense this 15-page internal audit report into a one-page executive summary.,text_summarization,high,14,0
Summarize the key findings from the attached user acceptance testing (UAT) report for the new mobile app release.,text_summarization,medium,14,2
Give me a short summary of the IT department's weekly status meeting notes.,text_summarization,low,14,1
Which of our financial products are most popular with customers under the age of 30?,natural_language_query,medium,6,2
How many car loan applications did we receive from the Bangalore region last month?,natural_language_query,low,6,1
Show me the top 10 corporate clients by their average daily account balance for the current fiscal year.,natural_language_query,high,6,0
What is the average resolution time for customer complaints raised through the mobile app versus the call center?,natural_language_query,medium,6,2
List all active employees in the compliance department.,natural_language_query,low,6,1
Which marketing channel generated the most leads for home loans in the last quarter and what was its cost per acquisition?,natural_language_query,high,6,0
"Write the technical documentation for the internal 'LoanEligibility' API, detailing all endpoints, request payloads, and possible response objects.",technical_documentation,medium,12,2
Create a user guide for new employees on how to use our internal expense reporting software.,technical_documentation,low,12,1
"Document the complete end-to-end data flow for our AML (Anti-Money Laundering) transaction monitoring system, including data sources, processing logic, and reporting outputs.",technical_documentation,high,12,0
Add comments to this complex PL/SQL script to explain the business logic behind the interest calculation part.,technical_documentation,medium,12,2
Create a 'Getting Started' guide for developers who want to use our new payments SDK.,technical_documentation,medium,12,2
Document the disaster recovery plan for the core banking system database.,technical_documentation,high,12,0
Calculate the Net Interest Margin (NIM) for the bank for the quarter ending June 2025.,financial_analysis,medium,5,2
Perform a stress test on our home loan portfolio against a scenario of a 150 basis point interest rate increase and a 5% rise in unemployment.,financial_analysis,high,5,0
What is the outstanding principal on loan account number 789456123?,financial_analysis,low,5,1
Analyze the cash flow statements of 'ABC Corporation' for the last 3 years to assess their loan repayment capacity.,financial_analysis,medium,5,2
Calculate the provision coverage ratio for our current pool of non-performing assets.,financial_analysis,medium,5,2
Project the bank's capital adequacy ratio (CAR) for the next two years based on the current growth trajectory.,financial_analysis,high,5,0
A customer is asking about a 'lien' marked on their account. Draft a clear response explaining what a lien is and why it might have been placed by the bank.,customer_support,medium,2,2
A customer's credit card was used for a fraudulent transaction. Draft an empathetic response outlining the steps for dispute resolution and card blocking.,customer_support,high,2,0
Where can I find my customer ID?,customer_support,low,2,1
Draft an SMS to inform a customer that their cheque has bounced due to insufficient funds.,customer_support,low,2,1
A customer is complaining about the long wait times at our T. Nagar branch. Draft a response acknowledging the issue and assuring them that feedback has been passed to the branch management.,customer_support,medium,2,2
Draft a step-by-step guide for a senior citizen on how to register for netbanking for the first time.,customer_support,medium,2,2
A customer received a phishing email pretending to be from our bank. Draft a response advising them not to click any links and to report the email.,customer_support,medium,2,2
Review this transaction of 50 international wire transfers made from a single account in one day and check if it violates AML regulations.,compliance_check,high,1,0
Does our new advertisement for personal loans clearly state the processing fee and other charges?,compliance_check,low,1,1
Check if the latest changes to the core banking system code have been approved by the internal change advisory board (CAB).,compliance_check,medium,1,2
Verify that all our call center employees have completed the mandatory annual training on data privacy and customer information security.,compliance_check,medium,1,2
Scan this new vendor agreement to ensure it includes our standard clauses on data protection and liability.,compliance_check,medium,1,2
Check this customer's account activity against their declared annual income to flag any potential discrepancies under KYC norms.,compliance_check,high,1,0
Translate 'Please submit your KYC documents' into Marathi.,translation,low,15,1
"Translate the full 'Privacy Policy' on our website from English to Hindi, ensuring the legal meaning is preserved.",translation,high,15,0
Translate this customer email from Tamil to English.,translation,medium,15,2
Translate the error message 'Invalid MPIN' into the top 5 regional languages spoken by our customers.,translation,medium,15,2
What's the overall sentiment of Twitter mentions about our bank today?,sentiment_analysis,medium,10,2
Is the sentiment of this review positive or negative: 'The loan process was smooth and the staff was very helpful.'?,sentiment_analysis,low,10,1
"Analyze the sentiment of 10,000 customer feedback forms and generate a report on the key drivers of customer dissatisfaction.",sentiment_analysis,high,10,0
What is the sentiment trend for our mobile app reviews over the last six months?,sentiment_analysis,medium,10,2
Draft a social media post celebrating our bank winning the 'Best Digital Bank' award.,text_generation,medium,13,2
Write a 300-word article on the importance of having an emergency fund.,text_generation,high,13,0
Generate five different taglines for our new 'Youth Advantage' savings account.,text_generation,medium,13,2
Write a formal letter to a high-value customer inviting them to an exclusive wealth management seminar.,text_generation,medium,13,2
Create a script for a 30-second radio advertisement about our competitive home loan rates.,text_generation,high,13,0
Write a welcome email for a new customer who just opened an account with us.,text_generation,low,13,1
"Extract the IFSC code, bank name, and branch address from this unstructured text.",data_extraction,low,4,1
"From the attached PDF of a company's annual report, extract the Revenue, Net Profit, and EPS.",data_extraction,high,4,0
"Read this scanned PAN card image and extract the name, date of birth, and PAN number.",data_extraction,medium,4,2
"Parse a directory of 1,000 unstructured customer emails and extract all mentioned account numbers.",data_extraction,high,4,0
Extract the merchant name and transaction amount from this SMS alert: 'Your A/c XXX123 has been debited by Rs. 2500 at STARBUCKS.',data_extraction,low,4,1
Write a script that automates the process of generating and emailing daily sales reports to branch managers.,process_automation,medium,8,2
"Design an automated workflow to handle credit card limit increase requests: if the customer's credit score is above 750, auto-approve; otherwise, route to a credit analyst for manual review.",process_automation,high,8,0
Create a rule in our ticketing system to automatically assign all tickets containing the word 'fraud' to the 'Risk & Security' team with high priority.,process_automation,low,8,1
Automate the process of fetching daily stock prices and updating the value of our customers' investment portfolios.,process_automation,medium,8,2
Explain our bank's policy on international fund transfers and the associated charges.,policy_explanation,medium,7,2
What is the procedure for closing a savings account?,policy_explanation,low,7,1
Explain to a customer in simple terms why the bank needs to do KYC verification periodically as per RBI guidelines.,policy_explanation,high,7,0
What are the benefits of our 'Platinum Debit Card' compared to the 'Classic Debit Card'?,policy_explanation,medium,7,2
Explain the bank's policy regarding locker access if the primary holder passes away.,policy_explanation,high,7,0
Write a SQL query to get the names and email addresses of all customers who have a home loan balance greater than 50 lakhs.,sql_query,medium,11,2
Write a SQL query to list all branches in Chennai.,sql_query,low,11,1
Write a SQL query to calculate the total number of fraudulent transactions reported each month for the last year.,sql_query,medium,11,2
Write a SQL query to find all employees who are also customers of the bank by joining the 'employees' and 'customers' tables on their PAN card number.,sql_query,medium,11,2
Write a SQL query to identify customer accounts that have been inactive for more than 24 months but still have a positive balance.,sql_query,medium,11,2
Create a SQL query to rank branches by the total value of personal loans disbursed in the current financial year.,sql_query,high,11,0
Write a SQL query to fetch the last 5 transactions for account number 123456789012.,sql_query,low,11,1
Write a SQL query to find the average CIBIL score of customers who have defaulted on a personal loan.,sql_query,medium,11,2
"Write a Python script that takes a customer ID as input, calls the 'get_customer_details' API, and prints the formatted address.",code_generation,medium,0,2
